   8.09682137D-04   1.05405751D-02
   8.33698354D-04   1.08485164D-02
   8.58248782D-04   1.11630289D-02
   8.83345305D-04   1.14842465D-02
   9.09000069D-04   1.18123054D-02
   9.35225492D-04   1.21473442D-02
   9.62034268D-04   1.24895041D-02
   9.89439373D-04   1.28389288D-02
   1.01745407D-03   1.31957646D-02
   1.04609192D-03   1.35601603D-02
   1.07536679D-03   1.39322672D-02
   1.10529284D-03   1.43122395D-02
   1.13588455D-03   1.47002338D-02
   1.16715675D-03   1.50964095D-02
   1.19912455D-03   1.55009288D-02
   1.23180344D-03   1.59139564D-02
   1.26520923D-03   1.63356600D-02
   1.29935810D-03   1.67662099D-02
   1.33426656D-03   1.72057793D-02
   1.36995152D-03   1.76545442D-02
   1.40643025D-03   1.81126833D-02
   1.44372040D-03   1.85803783D-02
   1.48184003D-03   1.90578139D-02
   1.52080758D-03   1.95451773D-02
   1.56064192D-03   2.00426589D-02
   1.60136232D-03   2.05504518D-02
   1.64298850D-03   2.10687523D-02
   1.68554061D-03   2.15977593D-02
   1.72903923D-03   2.21376748D-02
   1.77350543D-03   2.26887035D-02
   1.81896072D-03   2.32510534D-02
   1.86542711D-03   2.38249350D-02
   1.91292709D-03   2.44105619D-02
   1.96148365D-03   2.50081506D-02
   2.01112030D-03   2.56179205D-02
   2.06186104D-03   2.62400936D-02
   2.11373046D-03   2.68748950D-02
   2.16675364D-03   2.75225526D-02
   2.22095627D-03   2.81832970D-02
   2.27636456D-03   2.88573614D-02
   2.33300535D-03   2.95449819D-02
   2.39090604D-03   3.02463973D-02
   2.45009466D-03   3.09618487D-02
   2.51059986D-03   3.16915801D-02
   2.57245092D-03   3.24358377D-02
   2.63567779D-03   3.31948704D-02
   2.70031106D-03   3.39689292D-02
   2.76638202D-03   3.47582675D-02
   2.83392264D-03   3.55631408D-02
   2.90296563D-03   3.63838067D-02
   2.97354439D-03   3.72205249D-02
   3.04569309D-03   3.80735568D-02
   3.11944666D-03   3.89431657D-02
   3.19484078D-03   3.98296163D-02
   3.27191195D-03   4.07331750D-02
   3.35069748D-03   4.16541094D-02
   3.43123549D-03   4.25926885D-02
   3.51356497D-03   4.35491819D-02
   3.59772578D-03   4.45238605D-02
   3.68375864D-03   4.55169954D-02
   3.77170519D-03   4.65288585D-02
   3.86160801D-03   4.75597216D-02
   3.95351061D-03   4.86098568D-02
   4.04745747D-03   4.96795357D-02
   4.14349406D-03   5.07690293D-02
   4.24166687D-03   5.18786083D-02
   4.34202342D-03   5.30085417D-02
   4.44461227D-03   5.41590975D-02
   4.54948309D-03   5.53305419D-02
   4.65668664D-03   5.65231390D-02
   4.76627479D-03   5.77371506D-02
   4.87830060D-03   5.89728356D-02
   4.99281829D-03   6.02304498D-02
   5.10988329D-03   6.15102454D-02
   5.22955225D-03   6.28124703D-02
   5.35188311D-03   6.41373684D-02
   5.47693506D-03   6.54851782D-02
   5.60476865D-03   6.68561327D-02
   5.73544573D-03   6.82504592D-02
   5.86902958D-03   6.96683780D-02
   6.00558483D-03   7.11101026D-02
   6.14517758D-03   7.25758383D-02
   6.28787541D-03   7.40657824D-02
   6.43374738D-03   7.55801228D-02
   6.58286409D-03   7.71190375D-02
   6.73529772D-03   7.86826944D-02
   6.89112205D-03   8.02712496D-02
   7.05041251D-03   8.18848474D-02
   7.21324619D-03   8.35236190D-02
   7.37970190D-03   8.51876819D-02
   7.54986022D-03   8.68771389D-02
   7.72380351D-03   8.85920769D-02
   7.90161595D-03   9.03325666D-02
   8.08338361D-03   9.20986606D-02
   8.26919448D-03   9.38903932D-02
   8.45913848D-03   9.57077784D-02
   8.65330756D-03   9.75508097D-02
   8.85179569D-03   9.94194582D-02
   9.05469894D-03   1.01313672D-01
   9.26211554D-03   1.03233373D-01
   9.47414586D-03   1.05178460D-01
   9.69089254D-03   1.07148802D-01
   9.91246049D-03   1.09144240D-01
   1.01389569D-02   1.11164585D-01
   1.03704915D-02   1.13209616D-01
   1.06071763D-02   1.15279078D-01
   1.08491259D-02   1.17372683D-01
   1.10964573D-02   1.19490105D-01
   1.13492904D-02   1.21630980D-01
   1.16077474D-02   1.23794902D-01
   1.18719534D-02   1.25981427D-01
   1.21420364D-02   1.28190064D-01
   1.24181271D-02   1.30420277D-01
   1.27003590D-02   1.32671484D-01
   1.29888689D-02   1.34943050D-01
   1.32837963D-02   1.37234292D-01
   1.35852841D-02   1.39544469D-01
   1.38934780D-02   1.41872786D-01
   1.42085274D-02   1.44218391D-01
   1.45305846D-02   1.46580368D-01
   1.48598056D-02   1.48957740D-01
   1.51963497D-02   1.51349464D-01
   1.55403799D-02   1.53754429D-01
   1.58920626D-02   1.56171454D-01
   1.62515680D-02   1.58599285D-01
   1.66190702D-02   1.61036592D-01
   1.69947471D-02   1.63481967D-01
   1.73787804D-02   1.65933922D-01
   1.77713560D-02   1.68390886D-01
   1.81726641D-02   1.70851199D-01
   1.85828987D-02   1.73313116D-01
   1.90022585D-02   1.75774799D-01
   1.94309465D-02   1.78234316D-01
   1.98691701D-02   1.80689636D-01
   2.03171415D-02   1.83138632D-01
   2.07750774D-02   1.85579072D-01
   2.12431996D-02   1.88008619D-01
   2.17217345D-02   1.90424830D-01
   2.22109139D-02   1.92825150D-01
   2.27109745D-02   1.95206911D-01
   2.32221584D-02   1.97567329D-01
   2.37447129D-02   1.99903503D-01
   2.42788910D-02   2.02212411D-01
   2.48249512D-02   2.04490907D-01
   2.53831579D-02   2.06735720D-01
   2.59537812D-02   2.08943454D-01
   2.65370974D-02   2.11110581D-01
   2.71333887D-02   2.13233442D-01
   2.77429437D-02   2.15308245D-01
   2.83660576D-02   2.17331065D-01
   2.90030319D-02   2.19297839D-01
   2.96541749D-02   2.21204367D-01
   3.03198018D-02   2.23046313D-01
   3.10002348D-02   2.24819199D-01
   3.16958032D-02   2.26518410D-01
   3.24068436D-02   2.28139192D-01
   3.31337003D-02   2.29676650D-01
   3.38767250D-02   2.31125751D-01
   3.46362774D-02   2.32481324D-01
   3.54127251D-02   2.33738063D-01
   3.62064439D-02   2.34890525D-01
   3.70178181D-02   2.35933135D-01
   3.78472403D-02   2.36860188D-01
   3.86951119D-02   2.37665851D-01
   3.95618435D-02   2.38344170D-01
   4.04478544D-02   2.38889068D-01
   4.13535736D-02   2.39294357D-01
   4.22794394D-02   2.39553737D-01
   4.32259000D-02   2.39660808D-01
   4.41934134D-02   2.39609071D-01
   4.51824480D-02   2.39391940D-01
   4.61934824D-02   2.39002747D-01
   4.72270061D-02   2.38434755D-01
   4.82835193D-02   2.37681161D-01
   4.93635333D-02   2.36735116D-01
   5.04675709D-02   2.35589730D-01
   5.15961665D-02   2.34238085D-01
   5.27498663D-02   2.32673251D-01
   5.39292288D-02   2.30888300D-01
   5.51348248D-02   2.28876321D-01
   5.63672378D-02   2.26630434D-01
   5.76270643D-02   2.24143815D-01
   5.89149141D-02   2.21409706D-01
   6.02314106D-02   2.18421440D-01
   6.15771909D-02   2.15172463D-01
   6.29529065D-02   2.11656353D-01
   6.43592232D-02   2.07866843D-01
   6.57968217D-02   2.03797852D-01
   6.72663979D-02   1.99443501D-01
   6.87686629D-02   1.94798150D-01
   7.03043441D-02   1.89856419D-01
   7.18741846D-02   1.84613221D-01
   7.34789443D-02   1.79063789D-01
   7.51193999D-02   1.73203715D-01
   7.67963454D-02   1.67028975D-01
   7.85105926D-02   1.60535966D-01
   8.02629711D-02   1.53721544D-01
   8.20543292D-02   1.46583055D-01
   8.38855338D-02   1.39118376D-01
   8.57574714D-02   1.31325949D-01
   8.76710479D-02   1.23204824D-01
   8.96271896D-02   1.14754695D-01
   9.16268433D-02   1.05975942D-01
   9.36709769D-02   9.68696706D-02
   9.57605798D-02   8.74377517D-02
   9.78966633D-02   7.76828646D-02
   1.00080261D-01   6.76085367D-02
   1.02312431D-01   5.72191850D-02
   1.04594252D-01   4.65201567D-02
   1.06926830D-01   3.55177694D-02
   1.09311293D-01   2.42193508D-02
   1.11748796D-01   1.26332775D-02
   1.14240518D-01   7.69012295D-04
   1.16787665D-01  -1.13628593D-02
   1.19391471D-01  -2.37505945D-02
   1.22053195D-01  -3.63812605D-02
   1.24774126D-01  -4.92407039D-02
   1.27555580D-01  -6.23135225D-02
   1.30398905D-01  -7.55830399D-02
   1.33305476D-01  -8.90312834D-02
   1.36276700D-01  -1.02638965D-01
   1.39314015D-01  -1.16385465D-01
   1.42418892D-01  -1.30248823D-01
   1.45592833D-01  -1.44205730D-01
   1.48837374D-01  -1.58231524D-01
   1.52154087D-01  -1.72300198D-01
   1.55544575D-01  -1.86384401D-01
   1.59010481D-01  -2.00455460D-01
   1.62553482D-01  -2.14483390D-01
   1.66175292D-01  -2.28436930D-01
   1.69877665D-01  -2.42283569D-01
   1.73662393D-01  -2.55989585D-01
   1.77531308D-01  -2.69520094D-01
   1.81486282D-01  -2.82839102D-01
   1.85529230D-01  -2.95909566D-01
   1.89662108D-01  -3.08693459D-01
   1.93886916D-01  -3.21151850D-01
   1.98205701D-01  -3.33244987D-01
   2.02620552D-01  -3.44932383D-01
   2.07133606D-01  -3.56172920D-01
   2.11747047D-01  -3.66924954D-01
   2.16463108D-01  -3.77146428D-01
   2.21284073D-01  -3.86794992D-01
   2.26212274D-01  -3.95828135D-01
   2.31250097D-01  -4.04203319D-01
   2.36399980D-01  -4.11878120D-01
   2.41664416D-01  -4.18810376D-01
   2.47045953D-01  -4.24958344D-01
   2.52547195D-01  -4.30280859D-01
   2.58170807D-01  -4.34737498D-01
   2.63919508D-01  -4.38288750D-01
   2.69796083D-01  -4.40896193D-01
   2.75803374D-01  -4.42522663D-01
   2.81944291D-01  -4.43132444D-01
   2.88221805D-01  -4.42691440D-01
   2.94638955D-01  -4.41167368D-01
   3.01198846D-01  -4.38529935D-01
   3.07904654D-01  -4.34751023D-01
   3.14759624D-01  -4.29804876D-01
   3.21767075D-01  -4.23668279D-01
   3.28930399D-01  -4.16320738D-01
   3.36253061D-01  -4.07744654D-01
   3.43738608D-01  -3.97925499D-01
   3.51390661D-01  -3.86851980D-01
   3.59212925D-01  -3.74516203D-01
   3.67209186D-01  -3.60913825D-01
   3.75383314D-01  -3.46044202D-01
   3.83739265D-01  -3.29910529D-01
   3.92281084D-01  -3.12519967D-01
   4.01012906D-01  -2.93883765D-01
   4.09938957D-01  -2.74017362D-01
   4.19063556D-01  -2.52940487D-01
   4.28391121D-01  -2.30677238D-01
   4.37926167D-01  -2.07256147D-01
   4.47673308D-01  -1.82710236D-01
   4.57637263D-01  -1.57077044D-01
   4.67822853D-01  -1.30398650D-01
   4.78235010D-01  -1.02721668D-01
   4.88878772D-01  -7.40972230D-02
   4.99759292D-01  -4.45809059D-02
   5.10881835D-01  -1.42327101D-02
   5.22251787D-01   1.68830612D-02
   5.33874649D-01   4.86979088D-02
   5.45756047D-01   8.11392779D-02
   5.57901733D-01   1.14130724D-01
   5.70317585D-01   1.47592108D-01
   5.83009612D-01   1.81439812D-01
   5.95983958D-01   2.15586996D-01
   6.09246902D-01   2.49943867D-01
   6.22804865D-01   2.84417986D-01
   6.36664408D-01   3.18914603D-01
   6.50832240D-01   3.53337011D-01
   6.65315218D-01   3.87586934D-01
   6.80120352D-01   4.21564937D-01
   6.95254808D-01   4.55170857D-01
   7.10725912D-01   4.88304254D-01
   7.26541152D-01   5.20864888D-01
   7.42708182D-01   5.52753205D-01
   7.59234829D-01   5.83870832D-01
   7.76129091D-01   6.14121095D-01
   7.93399145D-01   6.43409525D-01
   8.11053350D-01   6.71644382D-01
   8.29100252D-01   6.98737160D-01
   8.47548585D-01   7.24603099D-01
   8.66407279D-01   7.49161672D-01
   8.85685461D-01   7.72337066D-01
   9.05392464D-01   7.94058635D-01
   9.25537824D-01   8.14261325D-01
   9.46131294D-01   8.32886077D-01
   9.67182840D-01   8.49880184D-01
